,1
0,0.09666886387480604
1,0.14497735813829418
2,0.26963456494282106
3,0.316241684977669
4,0.31015458375274524
5,0.19976387885758048
6,0.31496813186586115
7,0.31945319924538634
8,0.364977054525829
9,0.20832330355401757
10,0.3479923282015065
11,0.4350421715151788
12,0.34923865667992643
13,0.32469938418533034
14,0.16409897085451586
15,0.3855915220326676
16,0.47938656439715216
17,0.35094637993092104
18,0.7846407990808251
19,0.2169606143571395
20,0.371496172893924
21,0.8981253095576817
22,0.819632108358916
23,0.5532162589191402
24,0.23973354919003884
25,0.6465760285831695
26,0.25743689998405694
27,0.76490111374103
28,0.11544456765568328
29,0.38717655310869054
30,0.20068937651225052
31,0.738898121247672
32,0.3166168656055877
33,0.42126654597119495
34,0.24998274780576596
35,0.24154659812562274
36,0.19892125501262295
37,0.4877099392624738
38,0.17077343453716984
39,0.25173964615527095
40,0.5520871468635308
41,0.061672194049324704
42,0.31280155235807083
43,0.2845356970748242
44,0.4576468539175398
45,0.9899009048512322
46,0.9399089244482847
47,0.215715257864862
48,0.46021742271635835
49,0.29265894068794485
50,0.2641362465987829
51,0.9245556158250919
52,0.42055489197531776
53,0.24447449241079094
54,0.3139372358978564
55,0.1536339121104279
56,0.17465225122082256
57,0.6898168883768064
58,0.3186509709398982
59,0.402407358938977
60,0.7638147110287689
61,0.3413466052336349
62,0.27685958380534503
63,0.42866181357562994
64,0.1352325380911479
65,0.3780248654413777
66,0.4002772465904879
67,0.1556989647049976
68,0.5667281196237482
69,0.5494490535632199
70,0.22480717742799602
71,0.20921510153224282
72,0.6721691112561887
73,0.2136663223928385
74,0.496559286657751
75,0.40419636097910683
76,0.7520008131979521
77,0.6726592768509726
78,0.7054407621739868
79,0.9472865376509856
80,0.18771372461568486
81,0.36157522294244016
82,0.2713976027078652
83,0.19135947171979525
84,0.22599442764576524
85,0.050090855963874886
86,0.7487791045760332
87,0.5510719627047305
88,0.17256416506027264
89,0.2877096373294048
90,0.5283735231260338
91,0.5235683785047931
92,0.2917831634756849
93,0.4345272863552089
94,0.18426913457903962
95,0.6479636572390741
96,0.2156464209647168
97,0.10914176930173335
98,0.2876454046215759
99,0.35732883618065653
100,0.5688806466758758
101,0.06329636267151707
102,0.480069298360241
103,0.2890697217866812
104,0.1918205931395054
105,0.24440991221638997
106,0.7018471154347391
107,0.5627807954916416
108,0.24069833119790088
109,0.26356284797530805
110,0.5939336793069706
111,0.12741022654804096
112,0.11387080989204665
